Rank,Name,Net Worth,Num Worth,Age,Gender,Source,Country of Citizenship,What I Learned
#571,"Enrique Razon, Jr.",$3.3 B,$3.30,56,Male,ports,Philippines,
#447,Andrei Guriev,$4 B,$4,56,Male,fertilizers,Russia,
#569,Andrei Kozitsyn,$3.3 B,$3.30,56,Male,metals,Russia,
#608,Alexander Mamut,$3.2 B,$3.20,56,Male,investments,Russia,
#938,Lee Jay-Hyun,$2.2 B,$2.20,56,Male,food products/entertainment,South Korea,
#227,Jorn Rausing,$6.2 B,$6.20,56,Male,packaging,Sweden,
#508,Stephen Bisciotti,$3.6 B,$3.60,56,Male,"outsourcing, football",United States,
#549,Jeff Sutton,$3.4 B,$3.40,56,Male,real estate,United States,
#799,"Henry Nicholas, III.",$2.5 B,$2.50,56,Male,semiconductors,United States,
#944,Jim Davis,$2.2 B,$2.20,56,Male,staffing & recruiting firm,United States,
#974,James Coulter,$2.1 B,$2.10,56,Male,private equity,United States,
#1057,Mark Stevens,$1.9 B,$1.90,56,Male,venture capital,United States,
#1289,Todd Wagner,$1.6 B,$1.60,56,Male,online media,United States,
#1589,Kenneth Tuchman,$1.2 B,$1.20,56,Male,outsourcing,United States,
#1620,Stephen Feinberg,$1.2 B,$1.20,56,Male,private equity,United States,
#1624,Peter Sperling,$1.2 B,$1.20,56,Male,education,United States,
#1680,"Cargill MacMillan, III.",$1.2 B,$1.20,56,Male,Cargill,United States,
#1688,William Lauder,$1.2 B,$1.20,56,Male,Estee Lauder,United States,
#847,Lawrence Stroll,$2.4 B,$2.40,57,Male,retail,Canada,
#128,Hui Ka Yan,$9.8 B,$9.80,57,Male,real estate,China,
#894,Xue Xiangdong,$2.3 B,$2.30,57,Male,software,China,
#964,Zhu Xingliang,$2.1 B,$2.10,57,Male,construction,China,
#1124,Huang Qiaoling,$1.8 B,$1.80,57,Male,amusement parks,China,
#1806,Chen Jiancheng,$1.1 B,$1.10,57,Male,manufacturing,China,
#1433,Ilkka Herlin,$1.4 B,$1.40,57,Male,"elevators, escalators",Finland,
#161,Uday Kotak,$8.1 B,$8.10,57,Male,banking,India,
#566,Anil Ambani,$3.3 B,$3.30,57,Male,diversified,India,
#1471,Aloke Lohia,$1.4 B,$1.40,57,Male,petrochemicals,India,
#781,Richard Chandler,$2.5 B,$2.50,57,Male,investments,New Zealand,
#884,Kjell Inge Rokke,$2.3 B,$2.30,57,Male,"shipping, seafood",Norway,
#906,Carlos Rodriguez-Pastor,$2.3 B,$2.30,57,Male,finance,Peru,
#441,Alexander Abramov,$4 B,$4,57,Male,"steel, mining",Russia,
#1278,Sait-Salam Gutseriev,$1.6 B,$1.60,57,Male,"oil, banking, real estate",Russia,
#1747,Ron Sim,$1.1 B,$1.10,57,Male,retail,Singapore,
#872,Park Hyeon-Joo,$2.3 B,$2.30,57,Male,mutual funds,South Korea,
#1706,Cho Jung-Ho,$1.1 B,$1.10,57,Male,finance,South Korea,
#1046,Thomas Meyer,$2 B,$2,57,Male,apparel retailer,Switzerland,
#1585,Peter Spuhler,$1.2 B,$1.20,57,Male,train cars,Switzerland,
#1562,Wei Yin-Heng,$1.3 B,$1.30,57,Male,"food, beverages",Taiwan,
#1842,Wu Chung-Yi,$1 B,$1,57,Male,auto parts,Taiwan,
#623,Murat Ulker,$3.1 B,$3.10,57,Male,food manufacturing,Turkey,
#1525,Mark Dixon,$1.3 B,$1.30,57,Male,office real estate,United Kingdom,
#417,Jeffery Hildebrand,$4.2 B,$4.20,57,Male,oil,United States,
#480,Rick Caruso,$3.7 B,$3.70,57,Male,real estate,United States,
#783,James Irsay,$2.5 B,$2.50,57,Male,Indianapolis Colts,United States,
#1000,Daniel Pritzker,$2.1 B,$2.10,57,Male,"hotels, investments",United States,
#1021,James Dinan,$2 B,$2,57,Male,hedge funds,United States,
#1222,Jeffrey Gundlach,$1.7 B,$1.70,57,Male,investments,United States,
#1272,"H. Ross Perot, Jr.",$1.6 B,$1.60,57,Male,real estate,United States,
#1323,Brian Roberts,$1.5 B,$1.50,57,Male,Comcast,United States,
#472,Juan Carlos Escotet,$3.8 B,$3.80,57,Male,banking,Venezuela,
#207,Xu Shihui,$6.6 B,$6.60,58,Male,"snacks, beverages",China,
#468,Sun Piaoyang,$3.8 B,$3.80,58,Male,pharmaceuticals,China,
#771,Zhu Gongshan,$2.6 B,$2.60,58,Male,solar panel materials,China,
#1311,Xu Ziquan,$1.6 B,$1.60,58,Male,software,China,
#1621,Li Fuchao,$1.2 B,$1.20,58,Male,auto parts,China,
#1668,Zhang Changhong,$1.2 B,$1.20,58,Male,financial information service,China,
#1725,Fu Kwan,$1.1 B,$1.10,58,Male,"real estate, diversified",China,
#455,Jaime Gilinski Bacal,$3.9 B,$3.90,58,Male,banking,Colombia,
#1061,Christoph Henkel,$1.9 B,$1.90,58,Male,consumer goods,Germany,
#206,Sunil Mittal,$6.6 B,$6.60,58,Male,telecom,India,
#621,P.V. Ramprasad Reddy,$3.1 B,$3.10,58,Male,pharmaceuticals,India,
#1256,Harsh Goenka,$1.6 B,$1.60,58,Male,diversified,India,
#1860,Abdul Rasyid,$1 B,$1,58,Male,timber,Indonesia,
#267,Denis O'Brien,$5.6 B,$5.60,58,Male,telecom,Ireland,
#1336,Guido Barilla,$1.5 B,$1.50,58,Male,Barilla pasta,Italy,
#1452,Domenico Dolce,$1.4 B,$1.40,58,Male,Dolce & Gabbana,Italy,
#1532,Yoshiyuki Sankai,$1.3 B,$1.30,58,Male,robotics,Japan,
#825,Bulat Utemuratov,$2.4 B,$2.40,58,Male,"mining, banking, hotels",Kazakhstan,
#218,Mikhail Gutseriev,$6.3 B,$6.30,58,Male,"oil, real estate",Russia,
#1412,Boris Mints,$1.4 B,$1.40,58,Male,real estate,Russia,
#1712,Sergei Katsiev,$1.1 B,$1.10,58,Male,"retail, wholesale",Russia,
#1344,Zhong Sheng Jian,$1.5 B,$1.50,58,Male,real estate,Singapore,
#870,Seo Jung-Jin,$2.3 B,$2.30,58,Male,biotechnology,South Korea,
#619,Rafael Del Pino y Calvo-Sotelo,$3.1 B,$3.10,58,Male,construction,Spain,
#1056,Pierre Chen,$1.9 B,$1.90,58,Male,"art, electronics",Taiwan,
#1205,Chin Jong Hwa,$1.7 B,$1.70,58,Male,auto parts,Taiwan,
#573,Vichai Srivaddhanaprabha,$3.3 B,$3.30,58,Male,duty-free,Thailand,
#1430,Thongma Vijitpongpun,$1.4 B,$1.40,58,Male,real estate,Thailand,
#1447,Ahmet Calik,$1.4 B,$1.40,58,Male,"energy, media, banking",Turkey,
#1791,Mehmet Sinan Tara,$1.1 B,$1.10,58,Male,construction,Turkey,
#1783,Ayman Asfari,$1.1 B,$1.10,58,Male,oil services,United Kingdom,
#485,H. Fisk Johnson,$3.7 B,$3.70,58,Male,cleaning products,United States,
#591,Mark Cuban,$3.3 B,$3.30,58,Male,online media,United States,
#809,Bill Haslam,$2.5 B,$2.50,58,Male,truck stops,United States,
#934,Jon Stryker,$2.2 B,$2.20,58,Male,medical equipment,United States,
#1129,Louis Bacon,$1.8 B,$1.80,58,Male,hedge funds,United States,
#1172,Christopher Cline,$1.7 B,$1.70,58,Male,coal,United States,
#1519,Steve Case,$1.3 B,$1.30,58,Male,AOL,United States,
#1645,Paul Foster,$1.2 B,$1.20,58,Male,oil refining,United States,
#1665,J. Christopher Flowers,$1.2 B,$1.20,58,Male,investments,United States,
#1667,Henry Engelhardt,$1.2 B,$1.20,58,Male,insurance,United States,
#534,Vivek Chaand Sehgal,$3.5 B,$3.50,59,Male,auto parts,Australia,
#27,David Thomson,$26.1 B,$26.10,59,Male,media,Canada,
#904,Chip Wilson,$2.3 B,$2.30,59,Male,Lululemon,Canada,
#1260,Jacques D'Amours,$1.6 B,$1.60,59,Male,retail,Canada,
#546,Liang Wengen,$3.4 B,$3.40,59,Male,construction equipment,China,
#570,Yang Kai,$3.3 B,$3.30,59,Male,dairy products,China,
#750,Cao Longxiang,$2.6 B,$2.60,59,Male,pharmaceuticals,China,
#1123,Ni Zugen,$1.8 B,$1.80,59,Male,appliances,China,
#1194,Li Liufa,$1.7 B,$1.70,59,Male,"steel, diversified",China,
#1365,Fu Meicheng,$1.5 B,$1.50,59,Male,"TV shows, movies",China,
#1610,Zhang Zhangsun,$1.2 B,$1.20,59,Male,real estate,China,
#1772,Peng Jianhu,$1.1 B,$1.10,59,Male,tourism,China,
#1797,Chu Jinfu,$1.1 B,$1.10,59,Male,electrical equipment,China,
#1829,Wang Jinshu,$1 B,$1,59,Male,chemicals,China,
#1838,Zhou Mingjie & family,$1 B,$1,59,Male,lighting installations,China,
#430,Antti Herlin,$4.1 B,$4.10,59,Male,"elevators, escalators",Finland,
#768,Bernd Freier,$2.6 B,$2.60,59,Male,retail,Germany,
#1346,Susanne Zimmermann von Siefart,$1.5 B,$1.50,59,Male,vacuums/home cleaning products,Germany,
#942,Li Sze Lim,$2.2 B,$2.20,59,Male,real estate,Hong Kong,
#33,Mukesh Ambani,$22.8 B,$22.80,59,Male,"petrochemicals, oil & gas",India,
#1083,Sunny Varkey,$1.9 B,$1.90,59,Male,education,India,
#579,Bachtiar Karim,$3.3 B,$3.30,59,Male,manufacturing,Indonesia,
#41,Masayoshi Son,$18.2 B,$18.20,59,Male,"internet, telecom",Japan,
#812,Christoph Zeller,$2.5 B,$2.50,59,Male,dental implants,Liechtenstein,
#87,Aliko Dangote,$12.4 B,$12.40,59,Male,"cement, sugar, flour",Nigeria,
#99,Viktor Vekselberg,$11.3 B,$11.30,59,Male,"metals, energy",Russia,
#1690,Gavril Yushvaev,$1.2 B,$1.20,59,Male,"precious metals, real estate",Russia,
#1780,Boris Rotenberg,$1.1 B,$1.10,59,Male,"construction, pipes, chemicals",Russia,
#597,Ivan Glasenberg,$3.2 B,$3.20,59,Male,mining,Switzerland,
#260,Tsai Eng-Meng,$5.7 B,$5.70,59,Male,"food, beverages",Taiwan,
#686,Richard Tsai,$2.9 B,$2.90,59,Male,finance,Taiwan,
#1557,Wei Yin-Chun,$1.3 B,$1.30,59,Male,"food, beverages",Taiwan,
#885,John Reece,$2.3 B,$2.30,59,Male,Chemicals,United Kingdom,
#42,Len Blavatnik,$18.1 B,$18.10,59,Male,diversified,United States,
#95,David Tepper,$11.4 B,$11.40,59,Male,hedge funds,United States,
#185,James Chambers,$7.1 B,$7.10,59,Male,Media,United States,
#723,Douglas Leone,$2.7 B,$2.70,59,Male,venture capital,United States,
#735,Tilman Fertitta,$2.7 B,$2.70,59,Male,"restaurants, casinos",United States,
#845,Warren Stephens,$2.4 B,$2.40,59,Male,investment banking,United States,
#949,Brad Kelley,$2.2 B,$2.20,59,Male,tobacco,United States,
#1021,Glenn Dubin,$2 B,$2,59,Male,hedge funds,United States,
#1060,Kavitark Ram Shriram,$1.9 B,$1.90,59,Male,"venture capital, Google",United States,
#1138,Jon Yarbrough,$1.8 B,$1.80,59,Male,video games,United States,
#1263,Thomas Steyer,$1.6 B,$1.60,59,Male,hedge funds,United States,
#1301,Henry Swieca,$1.6 B,$1.60,59,Male,hedge funds,United States,
#1448,Seth Klarman,$1.4 B,$1.40,59,Male,investments,United States,
#1499,William Fisher,$1.3 B,$1.30,59,Male,Gap,United States,
#762,David Teoh,$2.6 B,$2.60,60,Male,telecommunications,Australia,
#337,Jose Roberto Marinho,$4.9 B,$4.90,60,Male,media,Brazil,
#552,Walther Moreira Salles Junior,$3.4 B,$3.40,60,Male,"banking, minerals",Brazil,
#527,Pang Kang,$3.5 B,$3.50,60,Male,soy sauce maker,China,
#661,Lin Xiucheng,$2.9 B,$2.90,60,Male,electronics,China,
#671,Li Shuirong,$2.9 B,$2.90,60,Male,petrochemicals,China,
#1146,Ren Jianhua,$1.8 B,$1.80,60,Male,kitchen appliances,China,
#1555,Wang Chaobin,$1.3 B,$1.30,60,Male,real estate,China,
#1632,Ni Zhaoxing,$1.2 B,$1.20,60,Male,real estate,China,
#637,Bernard Fraisse,$3.1 B,$3.10,60,Male,pharmaceuticals,France,
#350,Bidzina Ivanishvili,$4.8 B,$4.80,60,Male,investments,Georgia,
#465,Andreas von Bechtolsheim,$3.8 B,$3.80,60,Male,Google,Germany,
#897,Clemens Toennies,$2.3 B,$2.30,60,Male,meat processing,Germany,
#1156,Xiong Xuqiang,$1.8 B,$1.80,60,Male,real estate,Hong Kong,
#50,Dilip Shanghvi,$16.6 B,$16.60,60,Male,pharmaceuticals,India,
#436,M.A. Yusuff Ali,$4 B,$4,60,Male,retail,India,
#1066,Mangal Prabhat Lodha,$1.9 B,$1.90,60,Male,real estate,India,
#1705,Joy Alukkas,$1.1 B,$1.10,60,Male,Jewelry,India,
#226,John Grayken,$6.3 B,$6.30,60,Male,private equity,Ireland,
#448,Idan Ofer,$4 B,$4,60,Male,"drilling, shipping",Israel,
#1633,Beny Steinmetz,$1.2 B,$1.20,60,Male,"mining, diamonds, real estate",Israel,
#1758,Lev Leviev,$1.1 B,$1.10,60,Male,diamonds,Israel,
#807,Najib Mikati,$2.5 B,$2.50,60,Male,telecom,Lebanon,
#514,Ricardo Salinas Pliego,$3.6 B,$3.60,60,Male,"retail, media",Mexico,
#955,Stein Erik Hagen,$2.2 B,$2.20,60,Male,retail,Norway,
#682,Zygmunt Solorz-Zak,$2.9 B,$2.90,60,Male,TV broadcasting,Poland,
#98,Vladimir Lisin,$11.3 B,$11.30,60,Male,"steel, transport",Russia,
#278,Leonid Fedun,$5.4 B,$5.40,60,Male,oil,Russia,
#1506,Aras Agalarov,$1.3 B,$1.30,60,Male,real estate,Russia,
#685,Daniel Tsai,$2.9 B,$2.90,60,Male,finance,Taiwan,
#1450,Mehmet Aydinlar,$1.4 B,$1.40,60,Male,hospitals,Turkey,
#1472,Turgay Ciner,$1.4 B,$1.40,60,Male,diversified,Turkey,
#885,Andrew Currie,$2.3 B,$2.30,60,Male,Chemicals,United Kingdom,
#1,Bill Gates,$79.1 B,$79.10,60,Male,Microsoft,United States,
#24,Steve Ballmer,$27.1 B,$27.10,60,Male,Microsoft,United States,
#82,Steve Cohen,$13 B,$13,60,Male,hedge funds,United States,
#153,John Paulson,$8.6 B,$8.60,60,Male,hedge funds,United States,
#431,Mitchell Rales,$4.1 B,$4.10,60,Male,"manufacturing, investments",United States,
#463,Kelcy Warren,$3.9 B,$3.90,60,Male,pipelines,United States,
#783,"Stephen Mandel, Jr.",$2.5 B,$2.50,60,Male,hedge funds,United States,
#911,Joe Mansueto,$2.2 B,$2.20,60,Male,investment research,United States,
#936,Meg Whitman,$2.2 B,$2.20,60,Male,eBay,United States,
#1040,Jonathan Nelson,$2 B,$2,60,Male,private equity,United States,
#1052,Bruce Karsh,$1.9 B,$1.90,60,Male,private equity,United States,
#1129,Lee Bass,$1.8 B,$1.80,60,Male,"oil, investments",United States,
#1170,Vincent Viola,$1.8 B,$1.80,60,Male,electronic trading,United States,
#1534,Dan Wilks,$1.3 B,$1.30,60,Male,natural gas,United States,
#515,Walter Faria,$3.6 B,$3.60,61,Male,beer,Brazil,
#1032,Carlo Fidani,$2 B,$2,61,Male,real estate,Canada,
#18,Wang Jianlin,$33.7 B,$33.70,61,Male,real estate,China,
#398,Tong Jinquan,$4.4 B,$4.40,61,Male,real estate,China,
#875,Jiang Weiping,$2.3 B,$2.30,61,Male,chemicals,China,
#1603,Miao Shouliang,$1.2 B,$1.20,61,Male,"real estate, diversified",China,
#1209,Rolf Gerling,$1.7 B,$1.70,61,Male,insurance,Germany,
#574,Ajay Piramal,$3.3 B,$3.30,61,Male,pharmaceuticals,India,
#1253,Senapathy Gopalakrishnan,$1.6 B,$1.60,61,Male,software services,India,
#1255,Nandan Nilekani,$1.6 B,$1.60,61,Male,software services,India,
#1299,Ravi Jaipuria,$1.6 B,$1.60,61,Male,soft drinks,India,
#1458,Anand Mahindra,$1.4 B,$1.40,61,Male,automobiles,India,
#1751,Surendra Hiranandani,$1.1 B,$1.10,61,Male,real estate,India,
#1837,S.D. Shibulal,$1 B,$1,61,Male,software services,India,
#596,Shaul Shani,$3.2 B,$3.20,61,Male,telecom,Israel,
#556,Renzo Rosso,$3.4 B,$3.40,61,Male,fashion retail,Italy,
#450,Masahiro Miki,$3.9 B,$3.90,61,Male,retail,Japan,
#1623,Binod Chaudhary,$1.2 B,$1.20,61,Male,diversified,Nepal,
#1375,John de Mol,$1.5 B,$1.50,61,Male,TV,Netherlands,
#171,Graeme Hart,$7.6 B,$7.60,61,Male,investments,New Zealand,
#1070,Lucio and Susan Co,$1.9 B,$1.90,61,Male,Retailing,Philippines,
#55,Leonid Mikhelson,$16.2 B,$16.20,61,Male,"gas, chemicals",Russia,
#319,Pyotr Aven,$5.1 B,$5.10,61,Male,"oil, banking, telecom",Russia,
#1397,Farkhad Akhmedov,$1.4 B,$1.40,61,Male,natural gas,Russia,
#1678,Alexander Dzhaparidze,$1.2 B,$1.20,61,Male,oil services,Russia,
#44,Prince Alwaleed Bin Talal Alsaud,$17.7 B,$17.70,61,Male,investments,Saudi Arabia,
#1501,Asok Kumar Hiranandani,$1.3 B,$1.30,61,Male,real estate,Singapore,
#1504,Shin Dong-Bin,$1.3 B,$1.30,61,Male,retailing,South Korea,
#242,Finn Rausing,$6 B,$6,61,Male,packaging,Sweden,
#1598,Wei Ying-Chiao,$1.2 B,$1.20,61,Male,"food, beverages",Taiwan,
#860,Tom Morris,$2.4 B,$2.40,61,Male,Retail,United Kingdom,
#1029,Farhad Moshiri,$2 B,$2,61,Male,diversified,United Kingdom,
#1556,Anthony Langley,$1.3 B,$1.30,61,Male,manufacturing,United Kingdom,
#102,Eric Schmidt,$11.2 B,$11.20,61,Male,Google,United States,
#375,"Paul Tudor Jones, II.",$4.6 B,$4.60,61,Male,hedge funds,United States,
#399,Reinhold Schmieding,$4.4 B,$4.40,61,Male,medical devices,United States,
#485,S. Curtis Johnson,$3.7 B,$3.70,61,Male,cleaning products,United States,
#585,Jeff Greene,$3.3 B,$3.30,61,Male,"real estate, investments",United States,
#626,Henry Samueli,$3.1 B,$3.10,61,Male,semiconductors,United States,
#722,John Middleton,$2.7 B,$2.70,61,Male,tobacco,United States,
#741,Jude Reyes,$2.6 B,$2.60,61,Male,food distribution,United States,
#913,Jeff Rothschild,$2.2 B,$2.20,61,Male,Facebook,United States,
#963,Jeffrey Lorberbaum,$2.1 B,$2.10,61,Male,flooring,United States,
#1321,Vinod Khosla,$1.5 B,$1.50,61,Male,venture capital,United States,Get religion about what your definite desire is.
#1465,Edward Stack,$1.4 B,$1.40,61,Male,Dick's Sporting Goods,United States,
#1692,William Stone,$1.2 B,$1.20,61,Male,SS&C Technologies,United States,
#1823,Huang Bingwen,$1 B,$1,62,Male,cigarette packaging,Australia,
#338,Joao Roberto Marinho,$4.9 B,$4.90,62,Male,media,Brazil,
#1642,Lirio Parisotto,$1.2 B,$1.20,62,Male,investments,Brazil,
#642,Ke Zunhong,$3 B,$3,62,Male,pharmaceuticals,China,
#652,Chanchai Ruayrungruang,$3 B,$3,62,Male,real estate,China,
#891,Jiang Rensheng,$2.3 B,$2.30,62,Male,vaccine production,China,
#1003,Fu Guangming,$2.1 B,$2.10,62,Male,poultry,China,
#1464,Lou Zhongfu & family,$1.4 B,$1.40,62,Male,real estate,China,
#1536,Tian Ming,$1.3 B,$1.30,62,Male,measuring instruments,China,
#1789,Zhang Kaiyuan,$1.1 B,$1.10,62,Male,gas desulfurization,China,
#1851,Xiu Laigui,$1 B,$1,62,Male,pharmaceuticals,China,
#704,Andrej Babis,$2.8 B,$2.80,62,Male,agriculture,Czech Republic,
#654,Naguib Sawiris,$3 B,$3,62,Male,telecom,Egypt,
#1766,Norbert Dentressangle,$1.1 B,$1.10,62,Male,transport/logistics,France,
#565,Martin Viessmann,$3.3 B,$3.30,62,Male,heating equipment,Germany,
#800,Philip Niarchos,$2.5 B,$2.50,62,Male,art collection,Greece,
#1638,Thomas Lau,$1.2 B,$1.20,62,Male,department stores,Hong Kong,
#786,Rajan Raheja & family,$2.5 B,$2.50,62,Male,diversified,India,
#1669,K. Dinesh,$1.2 B,$1.20,62,Male,software services,India,
#1078,Alexander Machkevich,$1.9 B,$1.90,62,Male,"mining, metals",Israel,
#1399,Diego Della Valle,$1.4 B,$1.40,62,Male,shoes,Italy,
#1088,Alijan Ibragimov,$1.9 B,$1.90,62,Male,"mining, metals",Kazakhstan,
#110,German Larrea Mota Velasco,$10.8 B,$10.80,62,Male,mining,Mexico,
#489,Prince Sultan bin Mohammed bin Saud Al Kabeer,$3.7 B,$3.70,62,Male,dairy farms,Saudi Arabia,
#740,Raj Kumar & Kishin RK,$2.7 B,$2.70,62,Male,real estate,Singapore,
#1065,Shin Chang-Jae,$1.9 B,$1.90,62,Male,insurance,South Korea,
#1731,Shin Dong-Joo,$1.1 B,$1.10,62,Male,retailing,South Korea,
#525,Isak Andic,$3.5 B,$3.50,62,Male,clothing retail,Spain,
#1129,Torbjorn Tornqvist,$1.8 B,$1.80,62,Male,oil trading,Sweden,
#787,Martin Haefner,$2.5 B,$2.50,62,Male,"software, investments",Switzerland,
#1324,Faruk Eczacibasi,$1.5 B,$1.50,62,Male,"pharmaceuticals, diversified",Turkey,
#1495,Ali Ibrahim Agaoglu,$1.3 B,$1.30,62,Male,construction,Turkey,
#254,Robert Rowling,$5.8 B,$5.80,62,Male,investments,United States,
#518,Bubba Cathy,$3.6 B,$3.60,62,Male,Chick-Fil-A,United States,
#526,Jimmy Haslam,$3.5 B,$3.50,62,Male,"gas stations, retail",United States,
#532,Randal Kirk,$3.5 B,$3.50,62,Male,pharmaceuticals,United States,
#647,Michael Moritz,$3 B,$3,62,Male,venture capital,United States,
#741,J. Christopher Reyes,$2.6 B,$2.60,62,Male,food distribution,United States,
#841,Thomas Secunda,$2.4 B,$2.40,62,Male,Bloomberg LP,United States,
#1401,Rodney Lewis,$1.4 B,$1.40,62,Male,natural gas,United States,
#1461,Gary Magness,$1.4 B,$1.40,62,Male,"cable TV, investments",United States,
#1680,William MacMillan,$1.2 B,$1.20,62,Male,Cargill,United States,
#1111,Michael Hintze,$1.8 B,$1.80,63,Male,investment,Australia,
#1216,Wolfgang Leitner,$1.7 B,$1.70,63,Male,engineering,Austria,
#1158,Patokh Chodiev,$1.8 B,$1.80,63,Male,"mining, metals",Belgium,
#1604,Joao Alves de Queiroz Filho,$1.2 B,$1.20,63,Male,consumer goods,Brazil,
#352,Lu Zhiqiang,$4.8 B,$4.80,63,Male,conglomerate,China,
#858,Zhang Li,$2.4 B,$2.40,63,Male,real estate,China,
#864,Sun Xishuang,$2.4 B,$2.40,63,Male,real estate,China,
#945,Hui Lin Chit,$2.2 B,$2.20,63,Male,hygiene products,China,
#1101,Lei Jufang,$1.8 B,$1.80,63,Male,pharmaceuticals,China,
#1196,Dou Zhenggang,$1.7 B,$1.70,63,Male,"energy, waste, chemicals",China,
#1411,Liu Baolin,$1.4 B,$1.40,63,Male,"pharmacies, drug distribution",China,
#1498,Huang Wen Tsai,$1.3 B,$1.30,63,Male,real estate,China,
#1697,Liu Changqing,$1.1 B,$1.10,63,Male,banking equipment,China,
#214,Walter Droege,$6.4 B,$6.40,63,Male,Consulting,Germany,
#402,Wolfgang Reimann,$4.3 B,$4.30,63,Male,consumer goods,Germany,
#1392,Jost Hellmann,$1.5 B,$1.50,63,Male,logistics,Germany,
#382,Pankaj Patel,$4.5 B,$4.50,63,Male,pharmaceuticals,India,
#548,Ravi Pillai,$3.4 B,$3.40,63,Male,construction,India,
#1097,Anil Agarwal,$1.9 B,$1.90,63,Male,"mining, metals",India,
#1554,Azad Moopen,$1.3 B,$1.30,63,Male,healthcare,India,
#1377,Eddy Kusnadi Sariaatmadja,$1.5 B,$1.50,63,Male,"media, tech",Indonesia,
#1512,Mori Arkin,$1.3 B,$1.30,63,Male,pharmaceuticals,Israel,
#1782,Hideyuki Busujima,$1.1 B,$1.10,63,Male,pachinko machines,Japan,
#215,Mike Adenuga,$6.4 B,$6.40,63,Male,"telecom, oil",Nigeria,
#421,Tony Tan Caktiong,$4.1 B,$4.10,63,Male,fast food,Philippines,
#1266,"Robert Coyiuto, Jr.",$1.6 B,$1.60,63,Male,power,Philippines,
#72,Alisher Usmanov,$13.5 B,$13.50,63,Male,"steel, telecom, investments",Russia,
#79,Gennady Timchenko,$13.1 B,$13.10,63,Male,oil & gas,Russia,
#660,Viatcheslav Kantor,$2.9 B,$2.90,63,Male,"fertilizer, real estate",Russia,
#853,Peter Lim,$2.4 B,$2.40,63,Male,investments,Singapore,
#1189,Choo Chong Ngen,$1.7 B,$1.70,63,Male,hotels,Singapore,
#1118,Koos Bekker,$1.8 B,$1.80,63,Male,"media, investments",South Africa,
#1428,Hong Seok-Joh,$1.4 B,$1.40,63,Male,retail,South Korea,
#1652,Wei Ing-Chou,$1.2 B,$1.20,63,Male,"food, beverages",Taiwan,
#641,Hussain Sajwani,$3 B,$3,63,Male,real estate,United Arab Emirates,
#195,James Ratcliffe,$6.9 B,$6.90,63,Male,chemicals,United Kingdom,
#939,John Caudwell,$2.2 B,$2.20,63,Male,mobile phones,United Kingdom,
#1343,Hilton Schlosberg,$1.5 B,$1.50,63,Male,Monster energy drinks,United Kingdom,
#39,Paul Allen,$18.9 B,$18.90,63,Male,"Microsoft, investments",United States,
#65,Charles Ergen,$14.3 B,$14.30,63,Male,satellite TV,United States,
#143,Andrew Beal,$8.9 B,$8.90,63,Male,"banks, real estate",United States,
#393,Stanley Druckenmiller,$4.4 B,$4.40,63,Male,hedge funds,United States,
#518,Dan Cathy,$3.6 B,$3.60,63,Male,Chick-Fil-A,United States,
#676,Howard Schultz,$2.9 B,$2.90,63,Male,Starbucks,United States,
#802,Bharat & Neerja Sethi Desai,$2.5 B,$2.50,63,Male,IT consulting,United States,
#887,John Pritzker,$2.3 B,$2.30,63,Male,"hotels, investments",United States,
#898,Thomas Siebel,$2.3 B,$2.30,63,Male,business software,United States,
#919,Rakesh Gangwal,$2.2 B,$2.20,63,Male,Airlines,United States,
#921,John Tyson,$2.2 B,$2.20,63,Male,food processing,United States,
#981,Alec Gores,$2.1 B,$2.10,63,Male,private equity,United States,
#1334,Ron Burkle,$1.5 B,$1.50,63,Male,"supermarkets, investments",United States,
#1438,Michael Krasny,$1.4 B,$1.40,63,Male,retail,United States,
#1483,Robert Fisher,$1.3 B,$1.30,63,Male,Gap,United States,
#1518,Alan Rydge,$1.3 B,$1.30,64,Male,entertainment,Australia,
#464,Huang Rulun,$3.9 B,$3.90,64,Male,real estate,China,
#475,Qiu Guanghe,$3.8 B,$3.80,64,Male,apparel retail,China,
#1761,Gao Dekang,$1.1 B,$1.10,64,Male,apparel,China,
#1859,Tse Ping,$1 B,$1,64,Male,pharmaceuticals,China,
#1793,Suat Gunsel,$1.1 B,$1.10,64,Male,"real estate, education",Cyprus,
#314,Vincent Bollore,$5.1 B,$5.10,64,Male,investments,France,
#229,Aloys Wobben,$6.2 B,$6.20,64,Male,wind turbines,Germany,
#403,Renate Reimann-Haas,$4.3 B,$4.30,64,Male,consumer goods,Germany,
#1076,Stephen Lansdown,$1.9 B,$1.90,64,Male,financial services,Guernsey,
#453,Edwin Leong,$3.9 B,$3.90,64,Male,real estate,Hong Kong,
#1646,Billy Kan,$1.2 B,$1.20,64,Male,"finance, energy",Hong Kong,
#394,Micky Jagtiani,$4.4 B,$4.40,64,Male,retail,India,
#1354,Anand Burman,$1.5 B,$1.50,64,Male,consumer goods,India,
#1687,Venugopal Dhoot,$1.2 B,$1.20,64,Male,electronics,India,
#1802,Bhadresh Shah,$1.1 B,$1.10,64,Male,engineering,India,
#332,Sri Prakash Lohia,$5 B,$5,64,Male,polyester,Indonesia,
#975,Tahir,$2.1 B,$2.10,64,Male,diversified,Indonesia,
